Series,Episode,Episode Title,Scene,Speaker,Dialogue
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,"So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it’s unobserved it will, however, if it’s observed after it’s left the plane but before it hits its target, it will not have gone through both slits."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,"Agreed, what’s your point?"
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,"There’s no point, I just think it’s a good idea for a tee-shirt."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,Excuse me?
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Receptionist,Hang on.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,"One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is… move your finger… phylum, which makes fourteen across Port-au-Prince. See, Papa Doc’s capital idea, that’s Port-au-Prince. Haiti."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Receptionist,Can I help you?
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,"Yes. Um, is this the High IQ sperm bank?"
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Receptionist,"If you have to ask, maybe you shouldn’t be here."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,I think this is the place.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Receptionist,Fill these out.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,Thank-you. We’ll be right back.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Receptionist,"Oh, take your time. I’ll just finish my crossword puzzle. Oh wait."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,,(They sit and begin to fill in forms).
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,"Leonard, I don’t think I can do this."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,"What, are you kidding? You’re a semi-pro."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,"No. We are committing genetic fraud. There’s no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,"Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,"I know, and I do yearn for faster downloads, but there’s some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn’t know if he should use an integral or a differential to solve the area under a curve."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,I’m sure she’ll still love him.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,I wouldn’t.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,"Well, what do you want to do?"
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,I want to leave.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,Okay.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,What’s the protocol for leaving?
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,"I don’t know, I’ve never reneged on a proffer of sperm before."
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,Let’s try just walking out.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,Okay.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Receptionist,Bye.
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Sheldon,Bye-bye
Series 01,Episode 01,Pilot Episode,A corridor at a sperm bank.,Leonard,See you.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Are you still mad about the sperm bank?
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,No.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,You want to hear an interesting thing about stairs?
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Not really.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,"If the height of a single step is off by as little as two millimetres, most people will trip."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,I don’t care. Two millimetres? That doesn’t seem right.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,"No, it’s true, I did a series of experiments when I was twelve, my father broke his clavicle."
