dialogue,person_scene,series,episode,episode_name_only
 A railway station. Sheldon is wearing no trousers.,Scene,8.0,1.0,The Locomotion Interruption
" Excuse me. Is it at all possible that you’re knitting a pair of pants? Oh, well, no, you’re understandably terrified. But, you know, allow me to explain. 45 days ago, um, I embarked on a railroad journey of healing because my university was making me do string theory, and my favorite comic book store burned down, and when my room mate got engaged, my girlfriend wanted to move in with me, which was no doubt a ploy just to see my, well, excuse my language, but my bathing suit parts. Uh, sir, may I use your phone?",Sheldon,8.0,1.0,The Locomotion Interruption
 I don’t think so.,Man,8.0,1.0,The Locomotion Interruption
" Yeah, well, I understand that I’m half naked, but there is a reasonable explanation. While I slept in my sleeper car, all my possessions were stolen. Now, typically, I wear pyjamas, but I recently adopted a hobo lifestyle and pyjamas are the sleep-pants of the Man. I’ll have you know, Mahatma Gandhi wore no pants and a nation rallied behind him. My good man, now, before you walk away, I know that I may appear deranged, but I am, in fact, a world-renowned physicist. Ask me the difference between a boson and a fermion. Go ahead, ask. Bosons have integer spin, fermions have half-integer spin. My legs are getting cold. Why won’t anybody help me?",Sheldon,8.0,1.0,The Locomotion Interruption
 The apartment.,Scene,8.0,1.0,The Locomotion Interruption
" Uh, what are you doing here? I thought you moved out.",Howard,8.0,1.0,The Locomotion Interruption
" Oh, yeah, I was going to, and then Debbie and I got to talking over dinner the other night. I didn’t have any place to go, she likes having me around, so we both said, why leave? at the same time. It was precious.",Stuart,8.0,1.0,The Locomotion Interruption
 It’s not that precious.,Howard,8.0,1.0,The Locomotion Interruption
" I’d like to back you up, but it sounds like it was pretty precious.",Raj,8.0,1.0,The Locomotion Interruption
" Stewie, I can’t find my glasses.",(off),8.0,1.0,The Locomotion Interruption
" Be right there, Deb Deb. They’re probably on her head.",Stuart,8.0,1.0,The Locomotion Interruption
 Or in her neck. Listen. You staying here seems like something she would’ve talked to me about.,Howard,8.0,1.0,The Locomotion Interruption
" Well, maybe if you called your mother more often, you’d know.",Stuart,8.0,1.0,The Locomotion Interruption
 It wouldn’t kill you to pick up the phone.,Raj,8.0,1.0,The Locomotion Interruption
 Kingman Police Station.,Scene,8.0,1.0,The Locomotion Interruption
 Any word on my stolen items?,Sheldon,8.0,1.0,The Locomotion Interruption
 We’re doing everything we can.,Hernandez,8.0,1.0,The Locomotion Interruption
" You know, Sherlock Holmes liked to use cocaine to sharpen his focus. But I’m sure those Cool Ranch Doritos are doing the trick.",Sheldon,8.0,1.0,The Locomotion Interruption
 Sheldon.,Leonard,8.0,1.0,The Locomotion Interruption
" Leonard. Oh, I’m so happy to see you.",Sheldon,8.0,1.0,The Locomotion Interruption
 Are you okay?,Amy,8.0,1.0,The Locomotion Interruption
" Oh, I’m fine. Why did you come?",Sheldon,8.0,1.0,The Locomotion Interruption
" What do you mean, why did I come? You’re my boyfriend. I haven’t seen you in over a month. I just drove six hours to help you out. Don’t you have anything to say besides why did you come?",Amy,8.0,1.0,The Locomotion Interruption
" I do, but, I feel uncomfortable saying it out loud in front of these police officers.",Sheldon,8.0,1.0,The Locomotion Interruption
 Fine. Whisper it.,Amy,8.0,1.0,The Locomotion Interruption
 Shotgun.,(whispers),8.0,1.0,The Locomotion Interruption
 Leonard’s car.,Scene,8.0,1.0,The Locomotion Interruption
" So, Sheldon, tell us about your trip. Where’d you go?",Leonard,8.0,1.0,The Locomotion Interruption
" Where didn’t I go? I went to New York, Chicago, Atlanta, Denver, Seattle.",Sheldon,8.0,1.0,The Locomotion Interruption
 How were they?,Leonard,8.0,1.0,The Locomotion Interruption
" Oh, I have no idea. I never left the train station.",Sheldon,8.0,1.0,The Locomotion Interruption
