from,to,count
Leonard,Sheldon,6806
Penny,Sheldon,4420
Leonard,Penny,5201
Leonard,Leonard,27
Howard,Leonard,1962
Howard,Raj,2674
Leonard,Raj,1416
Howard,Sheldon,1887
Howard,Penny,622
Sheldon,Sheldon,28
Penny,Raj,537
Raj,Sheldon,1668
Penny,Penny,10
Raj,Raj,11
Bernadette,Howard,2076
Bernadette,Leonard,190
Bernadette,Penny,891
Bernadette,Sheldon,289
Amy,Sheldon,3222
Amy,Howard,177
Amy,Penny,1271
Amy,Leonard,395
Amy,Bernadette,647
Bernadette,Raj,458
Amy,Raj,252
Amy,Amy,8
Howard,Howard,6
Bernadette,Bernadette,2
