from,to,count
Sheldon,Leonard,3317
Leonard,Sheldon,3489
Sheldon,Penny,2204
Penny,Leonard,2637
Leonard,Penny,2564
Penny,Sheldon,2216
Leonard,Leonard,27
Leonard,Howard,997
Howard,Raj,1376
Raj,Leonard,701
Howard,Leonard,965
Leonard,Raj,715
Sheldon,Howard,941
Penny,Howard,305
Howard,Penny,317
Sheldon,Sheldon,28
Penny,Raj,268
Sheldon,Raj,804
Raj,Sheldon,864
Howard,Sheldon,946
Penny,Penny,10
Raj,Howard,1298
Raj,Penny,269
Raj,Raj,11
Howard,Bernadette,1024
Bernadette,Howard,1052
Bernadette,Leonard,91
Penny,Bernadette,444
Bernadette,Penny,447
Leonard,Bernadette,99
Bernadette,Sheldon,148
Sheldon,Bernadette,141
Sheldon,Amy,1563
Amy,Sheldon,1659
Amy,Howard,85
Penny,Amy,669
Amy,Penny,602
Leonard,Amy,199
Amy,Leonard,196
Howard,Amy,92
Amy,Bernadette,318
Bernadette,Amy,329
Raj,Bernadette,229
Bernadette,Raj,229
Amy,Raj,130
Raj,Amy,122
Amy,Amy,8
Howard,Howard,6
Bernadette,Bernadette,2
