from,to,count
Howard,Raj,145
Sheldon,Leonard,312
Leonard,Sheldon,294
Sheldon,Amy,207
Amy,Sheldon,207
Raj,Howard,143
Leonard,Amy,28
Amy,Leonard,28
Howard,Bernadette,138
Bernadette,Howard,119
Penny,Sheldon,181
Sheldon,Penny,165
Penny,Bernadette,85
Bernadette,Penny,83
Bernadette,Leonard,17
Penny,Leonard,219
Leonard,Penny,243
Sheldon,Howard,104
Raj,Sheldon,86
Sheldon,Raj,75
Leonard,Raj,86
Amy,Penny,90
Penny,Amy,86
Amy,Bernadette,55
Bernadette,Amy,52
Howard,Sheldon,101
Leonard,Leonard,22
Raj,Leonard,79
Raj,Amy,18
Sheldon,Sheldon,31
Howard,Leonard,88
Leonard,Howard,81
Leonard,Bernadette,13
Bernadette,Sheldon,31
Penny,Howard,23
Amy,Raj,17
Bernadette,Raj,35
Raj,Bernadette,29
Amy,Howard,19
Penny,Raj,32
Howard,Penny,18
Sheldon,Bernadette,28
Raj,Penny,31
Penny,Penny,16
Howard,Howard,9
Raj,Raj,6
Howard,Amy,15
Amy,Amy,5
Bernadette,Bernadette,1
