episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1.0,68,21,73,39,0,14,14
2.0,56,69,48,11,0,4,0
3.0,79,61,21,29,0,22,38
4.0,40,28,33,67,27,32,0
5.0,69,79,0,13,5,7,20
6.0,91,94,0,17,0,28,0
7.0,81,33,19,18,0,23,0
8.0,42,32,32,19,23,9,37
9.0,20,62,39,34,17,36,0
10.0,54,11,22,35,7,33,43
11.0,47,48,36,20,0,16,0
12.0,90,56,42,23,0,20,0
13.0,32,35,57,27,32,8,28
14.0,66,17,57,19,12,22,7
15.0,49,62,16,18,0,15,7
16.0,24,24,28,56,34,17,17
17.0,68,41,31,6,12,8,24
18.0,37,73,42,34,0,14,0
19.0,61,48,32,28,6,27,9
20.0,51,54,19,11,10,30,28
21.0,80,29,16,1,10,1,32
22.0,37,31,21,12,36,30,39
23.0,39,35,33,49,23,25,0
24.0,47,41,23,21,7,40,10
