dialogue,person_scene,series,episode,episode_name_only
 Thank-you. We’ll be right back.,Leonard,1.0,1.0,Pilot Episode
 Fill these out.,Receptionist,1.0,1.0,Pilot Episode
 I think this is the place.,Sheldon,1.0,1.0,Pilot Episode
 Should we have invited her for lunch?,Leonard,1.0,1.0,Pilot Episode
 Bye. ,Leonard,1.0,1.0,Pilot Episode
 Bye.,Sheldon,1.0,1.0,Pilot Episode
 Bye.,Penny,1.0,1.0,Pilot Episode
" Great. Well, bye.",Leonard,1.0,1.0,Pilot Episode
 Great.,Sheldon,1.0,1.0,Pilot Episode
 Great. ,Penny,1.0,1.0,Pilot Episode
 Hi.,Leonard,1.0,1.0,Pilot Episode
" Oh, hi!",Penny,1.0,1.0,Pilot Episode
" Two hundred pound transvestite with a skin condition, yes she is.",Sheldon,1.0,1.0,Pilot Episode
 Significant improvement over the old neighbour.,Leonard,1.0,1.0,Pilot Episode
" If you have to ask, maybe you shouldn’t be here.",Receptionist,1.0,1.0,Pilot Episode
" Yes. Um, is this the High IQ sperm bank?",Leonard,1.0,1.0,Pilot Episode
 Chat? We don’t chat. At least not offline.,Sheldon,1.0,1.0,Pilot Episode
 I’m going to invite her over. We’ll have a nice meal and chat.,Leonard,1.0,1.0,Pilot Episode
 That’s the beauty of it.,Sheldon,1.0,1.0,Pilot Episode
" Yes, and you’ve never met one of them.",Leonard,1.0,1.0,Pilot Episode
 I have a very wide circle. I have 212 friends on myspace. ,Sheldon,1.0,1.0,Pilot Episode
" Well, then that was wrong of us. We need to widen our circle.",Leonard,1.0,1.0,Pilot Episode
 We never invited Louis-slash-Louise over.,Sheldon,1.0,1.0,Pilot Episode
" I think we should be good neighbours, invite her over, make her feel welcome.",Leonard,1.0,1.0,Pilot Episode
 Not with commentary.,Sheldon,1.0,1.0,Pilot Episode
 We already watched the Season Two DVDs.,Leonard,1.0,1.0,Pilot Episode
 No. We’re going to start Season Two of Battlestar Galactica.,Sheldon,1.0,1.0,Pilot Episode
 Excuse me?,Leonard,1.0,1.0,Pilot Episode
" There’s no point, I just think it’s a good idea for a tee-shirt. ",Sheldon,1.0,1.0,Pilot Episode
" Agreed, what’s your point?",Leonard,1.0,1.0,Pilot Episode
" So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it’s unobserved it will, however, if it’s observed after it’s left the plane but before it hits its target, it will not have gone through both slits.",Sheldon,1.0,1.0,Pilot Episode
" Oh, take your time. I’ll just finish my crossword puzzle. Oh wait.",Receptionist,1.0,1.0,Pilot Episode
 At least I didn’t have to invent twenty-six dimensions just to make the math come out.,Leonard,1.0,1.0,Pilot Episode
" Oh, come on. Who hasn’t seen this differential below “here I sit broken hearted?”",Sheldon,1.0,1.0,Pilot Episode
