id,character,series,word,count
577,Amy,3.0,excuse,1
578,Amy,3.0,amy,1
579,Amy,3.0,farrah,1
580,Amy,3.0,fowler,1
581,Amy,3.0,sheldon,1
582,Amy,3.0,cooper,1
583,Amy,3.0,slang,1
584,Amy,3.0,unfamiliar,1
585,Amy,3.0,literal,1
586,Amy,3.0,share,1
587,Amy,3.0,aversion,1
588,Amy,3.0,soiled,1
589,Amy,3.0,hosiery,1
590,Amy,3.0,case,1
591,Amy,3.0,mother,1
592,Amy,4.0,sheldon,21
593,Amy,4.0,penny,17
594,Amy,4.0,bernadette,16
595,Amy,4.0,leonard,14
596,Amy,4.0,know,14
597,Amy,4.0,good,13
598,Amy,4.0,one,12
599,Amy,4.0,right,12
600,Amy,4.0,yes,12
601,Amy,4.0,night,12
602,Amy,4.0,brain,10
603,Amy,4.0,think,10
604,Amy,4.0,time,8
605,Amy,4.0,girl,8
606,Amy,4.0,people,8
607,Amy,5.0,sheldon,32
608,Amy,5.0,know,20
609,Amy,5.0,right,20
610,Amy,5.0,one,19
611,Amy,5.0,think,19
612,Amy,5.0,go,18
613,Amy,5.0,night,16
614,Amy,5.0,leonard,16
615,Amy,5.0,little,15
616,Amy,5.0,penny,15
617,Amy,5.0,let,14
618,Amy,5.0,good,14
619,Amy,5.0,want,14
620,Amy,5.0,come,13
621,Amy,5.0,put,13
622,Amy,6.0,sheldon,65
623,Amy,6.0,know,27
624,Amy,6.0,go,25
625,Amy,6.0,right,18
626,Amy,6.0,one,18
627,Amy,6.0,want,16
628,Amy,6.0,yes,14
629,Amy,6.0,let,14
630,Amy,6.0,think,14
631,Amy,6.0,leonard,13
632,Amy,6.0,take,11
633,Amy,6.0,something,11
634,Amy,6.0,feel,11
635,Amy,6.0,time,11
636,Amy,6.0,little,11
637,Amy,7.0,sheldon,67
638,Amy,7.0,know,24
639,Amy,7.0,want,22
640,Amy,7.0,think,22
641,Amy,7.0,one,19
642,Amy,7.0,go,18
643,Amy,7.0,really,18
644,Amy,7.0,good,16
645,Amy,7.0,penny,15
646,Amy,7.0,right,14
647,Amy,7.0,us,13
648,Amy,7.0,see,13
649,Amy,7.0,sorry,13
650,Amy,7.0,time,13
651,Amy,7.0,never,13
652,Amy,8.0,sheldon,42
653,Amy,8.0,know,26
654,Amy,8.0,one,20
655,Amy,8.0,think,18
656,Amy,8.0,say,17
657,Amy,8.0,two,15
658,Amy,8.0,go,15
659,Amy,8.0,really,15
660,Amy,8.0,good,14
661,Amy,8.0,right,14
662,Amy,8.0,time,14
663,Amy,8.0,see,13
664,Amy,8.0,let,13
665,Amy,8.0,take,13
666,Amy,8.0,penny,12
667,Amy,9.0,know,69
668,Amy,9.0,sheldon,51
669,Amy,9.0,really,24
670,Amy,9.0,think,23
671,Amy,9.0,go,22
672,Amy,9.0,one,21
673,Amy,9.0,thank,16
674,Amy,9.0,want,16
675,Amy,9.0,feel,15
676,Amy,9.0,say,15
677,Amy,9.0,hi,15
678,Amy,9.0,right,14
679,Amy,9.0,sure,13
680,Amy,9.0,maybe,13
681,Amy,9.0,mean,13
682,Amy,10.0,sheldon,69
683,Amy,10.0,know,57
684,Amy,10.0,want,27
685,Amy,10.0,really,25
686,Amy,10.0,right,24
687,Amy,10.0,one,24
688,Amy,10.0,think,21
689,Amy,10.0,good,21
690,Amy,10.0,sorry,19
691,Amy,10.0,go,19
692,Amy,10.0,mean,18
693,Amy,10.0,let,17
694,Amy,10.0,maybe,17
695,Amy,10.0,see,16
696,Amy,10.0,say,15
697,Amy,,see,2
698,Amy,,last,1
699,Amy,,night,1
700,Amy,,today,1
701,Amy,,thought,1
702,Amy,,breakfast,1
703,Amy,,together,1
704,Amy,,sheldon,1
705,Amy,,supposed,1
706,Amy,,go,1
707,Amy,,party,1
708,Amy,,afternoon,1
709,Amy,,think,1
710,Amy,,happening,1
711,Amy,,party,3
712,Amy,,honest,1
713,Amy,,gathering,1
714,Amy,,scientists,1
715,Amy,,different,1
716,Amy,,disciplines,1
717,Amy,,together,1
718,Amy,,share,1
719,Amy,,work,1
720,Amy,,keep,1
721,Amy,,current,1
722,Amy,,fields,1
723,Amy,,know,1
724,Amy,,called,1
725,Amy,,sorry,1
726,Amy,,hi,1
727,Amy,,bert,1
728,Amy,,friend,1
729,Amy,,penny,1
730,Amy,,bert,1
731,Amy,,geologist,1
732,Amy,,actually,1
733,Amy,,hour,1
734,Amy,,late,1
735,Amy,,know,1
736,Amy,,everyone,1
737,Amy,,feel,1
738,Amy,,bad,1
739,Amy,,leaving,1
740,Amy,,sure,1
741,Amy,,cause,1
742,Amy,,dating,1
743,Amy,,sheldon,1
744,Amy,,right,2
745,Amy,,idea,1
746,Amy,,time,1
747,Amy,,thought,1
748,Amy,,great,1
749,Amy,,party,1
750,Amy,,exactly,1
751,Amy,,extremely,1
752,Amy,,smart,1
753,Amy,,thank,1
754,Amy,,much,1
755,Amy,,bert,1
756,Amy,,great,1
757,Amy,,think,1
758,Amy,,good,1
759,Amy,,bye,1
