id,character,series,word,count
978,Bernadette,3.0,howard,9
979,Bernadette,3.0,leonard,9
980,Bernadette,3.0,know,7
981,Bernadette,3.0,really,5
982,Bernadette,3.0,think,5
983,Bernadette,3.0,experiment,5
984,Bernadette,3.0,mother,4
985,Bernadette,3.0,see,4
986,Bernadette,3.0,go,4
987,Bernadette,3.0,microbiology,3
988,Bernadette,3.0,day,3
989,Bernadette,3.0,work,3
990,Bernadette,3.0,love,3
991,Bernadette,3.0,need,3
992,Bernadette,3.0,says,3
993,Bernadette,4.0,howard,23
994,Bernadette,4.0,know,16
995,Bernadette,4.0,really,12
996,Bernadette,4.0,right,12
997,Bernadette,4.0,leonard,11
998,Bernadette,4.0,go,10
999,Bernadette,4.0,one,10
1000,Bernadette,4.0,want,9
1001,Bernadette,4.0,time,8
1002,Bernadette,4.0,penny,8
1003,Bernadette,4.0,take,7
1004,Bernadette,4.0,think,7
1005,Bernadette,4.0,let,7
1006,Bernadette,4.0,mean,6
1007,Bernadette,4.0,never,6
1008,Bernadette,5.0,know,30
1009,Bernadette,5.0,howard,24
1010,Bernadette,5.0,want,17
1011,Bernadette,5.0,howie,16
1012,Bernadette,5.0,mother,13
1013,Bernadette,5.0,think,13
1014,Bernadette,5.0,penny,13
1015,Bernadette,5.0,come,11
1016,Bernadette,5.0,little,11
1017,Bernadette,5.0,go,11
1018,Bernadette,5.0,right,10
1019,Bernadette,5.0,god,10
1020,Bernadette,5.0,really,10
1021,Bernadette,5.0,one,10
1022,Bernadette,5.0,love,10
1023,Bernadette,6.0,know,22
1024,Bernadette,6.0,think,17
1025,Bernadette,6.0,howie,16
1026,Bernadette,6.0,go,16
1027,Bernadette,6.0,sheldon,15
1028,Bernadette,6.0,little,15
1029,Bernadette,6.0,howard,13
1030,Bernadette,6.0,maybe,13
1031,Bernadette,6.0,let,12
1032,Bernadette,6.0,good,11
1033,Bernadette,6.0,back,11
1034,Bernadette,6.0,one,10
1035,Bernadette,6.0,make,10
1036,Bernadette,6.0,talk,9
1037,Bernadette,6.0,tell,9
1038,Bernadette,7.0,go,33
1039,Bernadette,7.0,howie,21
1040,Bernadette,7.0,know,19
1041,Bernadette,7.0,one,18
1042,Bernadette,7.0,think,18
1043,Bernadette,7.0,want,16
1044,Bernadette,7.0,time,14
1045,Bernadette,7.0,right,13
1046,Bernadette,7.0,come,13
1047,Bernadette,7.0,still,12
1048,Bernadette,7.0,never,11
1049,Bernadette,7.0,say,11
1050,Bernadette,7.0,take,11
1051,Bernadette,7.0,sorry,10
1052,Bernadette,7.0,great,10
1053,Bernadette,8.0,know,25
1054,Bernadette,8.0,want,21
1055,Bernadette,8.0,right,19
1056,Bernadette,8.0,go,17
1057,Bernadette,8.0,maybe,17
1058,Bernadette,8.0,howie,17
1059,Bernadette,8.0,think,15
1060,Bernadette,8.0,let,11
1061,Bernadette,8.0,cause,10
1062,Bernadette,8.0,come,10
1063,Bernadette,8.0,sure,10
1064,Bernadette,8.0,sorry,10
1065,Bernadette,8.0,one,10
1066,Bernadette,8.0,raj,10
1067,Bernadette,8.0,say,9
1068,Bernadette,9.0,know,26
1069,Bernadette,9.0,sheldon,20
1070,Bernadette,9.0,think,18
1071,Bernadette,9.0,one,16
1072,Bernadette,9.0,want,16
1073,Bernadette,9.0,little,16
1074,Bernadette,9.0,howie,15
1075,Bernadette,9.0,go,15
1076,Bernadette,9.0,sure,13
1077,Bernadette,9.0,really,13
1078,Bernadette,9.0,raj,12
1079,Bernadette,9.0,right,11
1080,Bernadette,9.0,come,10
1081,Bernadette,9.0,take,10
1082,Bernadette,9.0,look,10
1083,Bernadette,10.0,go,25
1084,Bernadette,10.0,know,24
1085,Bernadette,10.0,right,17
1086,Bernadette,10.0,back,17
1087,Bernadette,10.0,baby,16
1088,Bernadette,10.0,want,13
1089,Bernadette,10.0,work,13
1090,Bernadette,10.0,fine,13
1091,Bernadette,10.0,really,13
1092,Bernadette,10.0,see,12
1093,Bernadette,10.0,think,12
1094,Bernadette,10.0,let,12
1095,Bernadette,10.0,raj,12
1096,Bernadette,10.0,love,11
1097,Bernadette,10.0,us,11
1098,Bernadette,,made,1
1099,Bernadette,,alarm,1
1100,Bernadette,,code,1
1101,Bernadette,,birthday,1
1102,Bernadette,,appreciate,1
1103,Bernadette,,spend,1
1104,Bernadette,,day,1
1105,Bernadette,,really,1
1106,Bernadette,,enough,1
1107,Bernadette,,take,1
1108,Bernadette,,howard,1
1109,Bernadette,,grandmother,1
1110,Bernadette,,christmas,1
1111,Bernadette,,little,1
1112,Bernadette,,early,1
1113,Bernadette,,much,1
1114,Bernadette,,junk,1
1115,Bernadette,,embarrassing,1
1116,Bernadette,,think,1
1117,Bernadette,,even,1
1118,Bernadette,,know,1
1119,Bernadette,,begin,1
1120,Bernadette,,start,1
1121,Bernadette,,end,1
1122,Bernadette,,thank,1
1123,Bernadette,,god,1
1124,Bernadette,,sorry,1
1125,Bernadette,,probably,1
1126,Bernadette,,keep,1
1127,Bernadette,,case,1
1128,Bernadette,,girl,1
1129,Bernadette,,dad,1
1130,Bernadette,,built,1
1131,Bernadette,,husband,1
1132,Bernadette,,wife,1
1133,Bernadette,,go,1
1134,Bernadette,,adventures,1
1135,Bernadette,,together,1
1136,Bernadette,,cruises,1
1137,Bernadette,,skiing,1
1138,Bernadette,,horseback,1
1139,Bernadette,,riding,1
1140,Bernadette,,really,1
1141,Bernadette,,duct,1
1142,Bernadette,,taping,1
1143,Bernadette,,dog,1
1144,Bernadette,,mommy,1
1145,Bernadette,,daddy,1
1146,Bernadette,,shipped,1
1147,Bernadette,,orphanage,1
1148,Bernadette,,made,1
1149,Bernadette,,shoebox,1
1150,Bernadette,,never,2
1151,Bernadette,,every,1
1152,Bernadette,,girl,1
1153,Bernadette,,dreams,1
1154,Bernadette,,mom,1
1155,Bernadette,,sometimes,1
1156,Bernadette,,think,1
1157,Bernadette,,kids,1
1158,Bernadette,,one,1
1159,Bernadette,,day,1
1160,Bernadette,,wake,1
1161,Bernadette,,pregnant,1
1162,Bernadette,,matter,1
1163,Bernadette,,career,1
1164,Bernadette,,great,1
1165,Bernadette,,sorry,1
1166,Bernadette,,flipped,1
1167,Bernadette,,think,1
1168,Bernadette,,hormones,1
1169,Bernadette,,really,1
1170,Bernadette,,need,1
1171,Bernadette,,one,1
1172,Bernadette,,doubled,1
1173,Bernadette,,dad,1
1174,Bernadette,,office,1
1175,Bernadette,,cop,1
1176,Bernadette,,guess,1
1177,Bernadette,,theme,1
1178,Bernadette,,bloody,1
1179,Bernadette,,homicide,1
1180,Bernadette,,photos,1
1181,Bernadette,,name,1
1182,Bernadette,,colours,1
1183,Bernadette,,care,1
1184,Bernadette,,colour,1
1185,Bernadette,,room,1
1186,Bernadette,,drop,1
1187,Bernadette,,clearly,1
1188,Bernadette,,upset,1
1189,Bernadette,,following,1
1190,Bernadette,,know,1
1191,Bernadette,,raj,1
1192,Bernadette,,care,1
1193,Bernadette,,anything,1
1194,Bernadette,,baby,1
1195,Bernadette,,care,1
1196,Bernadette,,nurseries,1
1197,Bernadette,,colours,1
1198,Bernadette,,wrong,1
1199,Bernadette,,keep,1
1200,Bernadette,,waiting,1
1201,Bernadette,,feel,1
1202,Bernadette,,excited,1
1203,Bernadette,,happening,1
1204,Bernadette,,never,1
1205,Bernadette,,happens,1
1206,Bernadette,,supposed,1
1207,Bernadette,,babysit,1
1208,Bernadette,,brothers,1
1209,Bernadette,,neighbour,1
1210,Bernadette,,found,1
1211,Bernadette,,naked,1
1212,Bernadette,,backyard,1
1213,Bernadette,,eating,1
1214,Bernadette,,crickets,1
1215,Bernadette,,calling,1
1216,Bernadette,,rat,1
1217,Bernadette,,howard,1
1218,Bernadette,,snitch,1
1219,Bernadette,,wonder,1
1220,Bernadette,,something,1
1221,Bernadette,,wrong,1
1222,Bernadette,,care,1
1223,Bernadette,,baby,1
1224,Bernadette,,stuff,1
1225,Bernadette,,every,1
1226,Bernadette,,mom,1
1227,Bernadette,,honestly,1
1228,Bernadette,,even,1
1229,Bernadette,,sure,1
1230,Bernadette,,babies,1
1231,Bernadette,,thought,1
1232,Bernadette,,excited,1
1233,Bernadette,,thank,1
1234,Bernadette,,feel,1
1235,Bernadette,,better,1
