id,character,season,word,count
1,Sheldon,1,leonard,73
2,Sheldon,1,knock,64
3,Sheldon,1,know,50
4,Sheldon,1,penny,50
5,Sheldon,1,think,47
6,Sheldon,1,time,46
7,Sheldon,1,one,45
8,Sheldon,1,yes,40
9,Sheldon,1,go,35
10,Sheldon,1,want,33
11,Sheldon,1,need,32
12,Sheldon,1,good,31
13,Sheldon,1,see,30
14,Sheldon,1,little,26
15,Sheldon,1,really,28
16,Sheldon,2,leonard,97
17,Sheldon,2,penny,90
18,Sheldon,2,know,68
19,Sheldon,2,one,68
20,Sheldon,2,knock,63
21,Sheldon,2,right,55
22,Sheldon,2,see,54
23,Sheldon,2,yes,49
24,Sheldon,2,go,47
25,Sheldon,2,good,44
26,Sheldon,2,time,38
27,Sheldon,2,say,35
28,Sheldon,2,let,34
29,Sheldon,2,work,35
30,Sheldon,2,need,29
31,Sheldon,3,knock,167
32,Sheldon,3,leonard,108
33,Sheldon,3,penny,91
34,Sheldon,3,right,81
35,Sheldon,3,one,72
36,Sheldon,3,yes,56
37,Sheldon,3,know,52
38,Sheldon,3,good,48
39,Sheldon,3,go,37
40,Sheldon,3,want,35
41,Sheldon,3,let,33
42,Sheldon,3,time,33
43,Sheldon,3,sorry,31
44,Sheldon,3,course,29
45,Sheldon,3,need,28
46,Sheldon,4,knock,104
47,Sheldon,4,leonard,89
48,Sheldon,4,penny,75
49,Sheldon,4,right,70
50,Sheldon,4,yes,67
51,Sheldon,4,know,64
52,Sheldon,4,one,61
53,Sheldon,4,amy,54
54,Sheldon,4,see,44
55,Sheldon,4,good,43
56,Sheldon,4,go,41
57,Sheldon,4,time,39
58,Sheldon,4,think,38
59,Sheldon,4,howard,36
60,Sheldon,4,back,34
61,Sheldon,5,knock,98
62,Sheldon,5,leonard,74
63,Sheldon,5,know,73
64,Sheldon,5,right,66
65,Sheldon,5,one,58
66,Sheldon,5,penny,48
67,Sheldon,5,amy,44
68,Sheldon,5,go,44
69,Sheldon,5,see,42
70,Sheldon,5,make,40
71,Sheldon,5,yes,39
72,Sheldon,5,think,36
73,Sheldon,5,let,35
74,Sheldon,5,good,34
75,Sheldon,5,time,31
76,Sheldon,6,knock,109
77,Sheldon,6,know,98
78,Sheldon,6,leonard,69
79,Sheldon,6,one,55
80,Sheldon,6,right,50
81,Sheldon,6,amy,48
82,Sheldon,6,want,42
83,Sheldon,6,think,42
84,Sheldon,6,yes,41
85,Sheldon,6,see,39
86,Sheldon,6,penny,38
87,Sheldon,6,go,37
88,Sheldon,6,time,36
89,Sheldon,6,let,35
90,Sheldon,6,good,35
91,Sheldon,7,know,87
92,Sheldon,7,one,73
93,Sheldon,7,knock,72
94,Sheldon,7,leonard,57
95,Sheldon,7,say,56
96,Sheldon,7,right,54
97,Sheldon,7,think,51
98,Sheldon,7,good,44
99,Sheldon,7,go,43
100,Sheldon,7,amy,43
101,Sheldon,7,see,37
102,Sheldon,7,time,37
103,Sheldon,7,want,35
104,Sheldon,7,back,34
105,Sheldon,7,yes,32
106,Sheldon,8,know,98
107,Sheldon,8,knock,71
108,Sheldon,8,leonard,70
109,Sheldon,8,one,70
110,Sheldon,8,right,55
111,Sheldon,8,good,52
112,Sheldon,8,think,51
113,Sheldon,8,see,46
114,Sheldon,8,want,43
115,Sheldon,8,go,41
116,Sheldon,8,say,41
117,Sheldon,8,amy,39
118,Sheldon,8,make,38
119,Sheldon,8,time,36
120,Sheldon,8,yes,33
121,Sheldon,9,know,111
122,Sheldon,9,knock,72
123,Sheldon,9,amy,65
124,Sheldon,9,right,61
125,Sheldon,9,one,59
126,Sheldon,9,leonard,55
127,Sheldon,9,see,48
128,Sheldon,9,time,42
129,Sheldon,9,think,39
130,Sheldon,9,good,37
131,Sheldon,9,say,37
132,Sheldon,9,let,34
133,Sheldon,9,us,34
134,Sheldon,9,never,35
135,Sheldon,9,want,28
136,Sheldon,10,know,111
137,Sheldon,10,amy,54
138,Sheldon,10,leonard,52
139,Sheldon,10,one,51
140,Sheldon,10,right,48
141,Sheldon,10,need,37
142,Sheldon,10,good,37
143,Sheldon,10,think,36
144,Sheldon,10,see,36
145,Sheldon,10,people,36
146,Sheldon,10,knock,34
147,Sheldon,10,time,33
148,Sheldon,10,say,32
149,Sheldon,10,want,31
150,Sheldon,10,yes,31
352,Penny,1,leonard,58
353,Penny,1,know,56
354,Penny,1,sheldon,46
355,Penny,1,really,43
356,Penny,1,guys,35
357,Penny,1,go,29
358,Penny,1,good,27
359,Penny,1,one,26
360,Penny,1,want,26
361,Penny,1,come,21
362,Penny,1,alright,21
363,Penny,1,raj,20
364,Penny,1,sorry,19
365,Penny,1,look,18
366,Penny,1,howard,17
367,Penny,2,know,95
368,Penny,2,sheldon,91
369,Penny,2,leonard,60
370,Penny,2,right,43
371,Penny,2,come,37
372,Penny,2,really,35
373,Penny,2,look,33
374,Penny,2,go,31
375,Penny,2,one,28
376,Penny,2,guys,26
377,Penny,2,little,25
378,Penny,2,yes,25
379,Penny,2,think,25
380,Penny,2,want,23
381,Penny,2,see,23
382,Penny,3,know,77
383,Penny,3,sheldon,73
384,Penny,3,leonard,55
385,Penny,3,go,44
386,Penny,3,right,31
387,Penny,3,want,26
388,Penny,3,sorry,26
389,Penny,3,one,26
390,Penny,3,really,25
391,Penny,3,back,24
392,Penny,3,come,24
393,Penny,3,look,23
394,Penny,3,let,23
395,Penny,3,think,20
396,Penny,3,little,20
397,Penny,4,know,79
398,Penny,4,leonard,54
399,Penny,4,sheldon,51
400,Penny,4,right,43
401,Penny,4,amy,33
402,Penny,4,go,33
403,Penny,4,look,32
404,Penny,4,want,31
405,Penny,4,really,29
406,Penny,4,sorry,28
407,Penny,4,let,26
408,Penny,4,guys,21
409,Penny,4,think,20
410,Penny,4,little,20
411,Penny,4,great,19
412,Penny,5,know,69
413,Penny,5,right,41
414,Penny,5,go,38
415,Penny,5,sheldon,37
416,Penny,5,look,36
417,Penny,5,want,31
418,Penny,5,good,27
419,Penny,5,let,27
420,Penny,5,come,27
421,Penny,5,amy,27
422,Penny,5,really,25
423,Penny,5,mean,28
424,Penny,5,little,23
425,Penny,5,leonard,21
426,Penny,5,sorry,20
427,Penny,6,know,55
428,Penny,6,want,34
429,Penny,6,right,32
430,Penny,6,really,31
431,Penny,6,go,27
432,Penny,6,leonard,27
433,Penny,6,sheldon,26
434,Penny,6,come,23
435,Penny,6,one,23
436,Penny,6,look,21
437,Penny,6,think,20
438,Penny,6,amy,19
439,Penny,6,work,19
440,Penny,6,tell,19
441,Penny,6,mean,16
442,Penny,7,know,75
443,Penny,7,right,42
444,Penny,7,come,40
445,Penny,7,sheldon,40
446,Penny,7,want,38
447,Penny,7,go,35
448,Penny,7,really,34
449,Penny,7,think,34
450,Penny,7,one,31
451,Penny,7,good,26
452,Penny,7,leonard,26
453,Penny,7,something,24
454,Penny,7,guys,24
455,Penny,7,let,23
456,Penny,7,look,23
457,Penny,8,know,66
458,Penny,8,want,44
459,Penny,8,really,41
460,Penny,8,think,35
461,Penny,8,go,32
462,Penny,8,right,32
463,Penny,8,little,25
464,Penny,8,good,25
465,Penny,8,sheldon,25
466,Penny,8,people,24
467,Penny,8,guys,20
468,Penny,8,let,20
469,Penny,8,time,19
470,Penny,8,kind,19
471,Penny,8,something,19
472,Penny,9,know,82
473,Penny,9,want,40
474,Penny,9,right,37
475,Penny,9,come,31
476,Penny,9,leonard,30
477,Penny,9,go,30
478,Penny,9,sheldon,30
479,Penny,9,really,29
480,Penny,9,let,27
481,Penny,9,see,27
482,Penny,9,think,26
483,Penny,9,us,24
484,Penny,9,look,20
485,Penny,9,make,20
486,Penny,9,amy,19
487,Penny,10,know,56
488,Penny,10,right,41
489,Penny,10,go,37
490,Penny,10,want,33
491,Penny,10,leonard,33
492,Penny,10,really,27
493,Penny,10,one,22
494,Penny,10,sheldon,22
495,Penny,10,say,21
496,Penny,10,think,21
497,Penny,10,come,18
498,Penny,10,make,17
499,Penny,10,little,16
500,Penny,10,believe,16
501,Penny,10,good,15
577,Amy,3,excuse,1
578,Amy,3,amy,1
579,Amy,3,farrah,1
580,Amy,3,fowler,1
581,Amy,3,sheldon,1
582,Amy,3,cooper,1
583,Amy,3,slang,1
584,Amy,3,unfamiliar,1
585,Amy,3,literal,1
586,Amy,3,share,2
587,Amy,3,aversion,1
588,Amy,3,soiled,1
589,Amy,3,hosiery,1
590,Amy,3,case,1
591,Amy,3,mother,1
592,Amy,4,sheldon,21
593,Amy,4,penny,17
594,Amy,4,bernadette,16
595,Amy,4,leonard,14
596,Amy,4,know,14
597,Amy,4,good,13
598,Amy,4,one,12
599,Amy,4,right,12
600,Amy,4,yes,12
601,Amy,4,night,12
602,Amy,4,brain,10
603,Amy,4,think,10
604,Amy,4,time,8
605,Amy,4,girl,8
606,Amy,4,people,8
607,Amy,5,sheldon,32
608,Amy,5,know,20
609,Amy,5,right,20
610,Amy,5,one,19
611,Amy,5,think,19
612,Amy,5,go,18
613,Amy,5,night,17
614,Amy,5,leonard,16
615,Amy,5,little,15
616,Amy,5,penny,15
617,Amy,5,let,14
618,Amy,5,good,14
619,Amy,5,want,14
620,Amy,5,come,13
621,Amy,5,put,13
622,Amy,6,sheldon,65
623,Amy,6,know,27
624,Amy,6,go,25
625,Amy,6,right,18
626,Amy,6,one,18
627,Amy,6,want,16
628,Amy,6,yes,14
629,Amy,6,let,14
630,Amy,6,think,14
631,Amy,6,leonard,13
632,Amy,6,take,11
633,Amy,6,something,11
634,Amy,6,feel,11
635,Amy,6,time,11
636,Amy,6,little,11
637,Amy,7,sheldon,67
638,Amy,7,know,24
639,Amy,7,want,22
640,Amy,7,think,22
641,Amy,7,one,19
642,Amy,7,go,18
643,Amy,7,really,18
644,Amy,7,good,16
645,Amy,7,penny,15
646,Amy,7,right,14
647,Amy,7,us,13
648,Amy,7,see,14
649,Amy,7,sorry,13
650,Amy,7,time,13
651,Amy,7,never,13
652,Amy,8,sheldon,42
653,Amy,8,know,26
654,Amy,8,one,20
655,Amy,8,think,18
656,Amy,8,say,17
657,Amy,8,two,15
658,Amy,8,go,15
659,Amy,8,really,15
660,Amy,8,good,14
661,Amy,8,right,14
662,Amy,8,time,14
663,Amy,8,see,14
664,Amy,8,let,13
665,Amy,8,take,13
666,Amy,8,penny,12
667,Amy,9,know,69
668,Amy,9,sheldon,51
669,Amy,9,really,24
670,Amy,9,think,23
671,Amy,9,go,22
672,Amy,9,one,21
673,Amy,9,thank,17
674,Amy,9,want,16
675,Amy,9,feel,16
676,Amy,9,say,15
677,Amy,9,hi,16
678,Amy,9,right,14
679,Amy,9,sure,14
680,Amy,9,maybe,13
681,Amy,9,mean,13
682,Amy,10,sheldon,69
683,Amy,10,know,57
684,Amy,10,want,27
