id,character,season,rank,word,count,uniqueness_score
1,Sheldon,1.0,1,knock,64,59.36231884057971
2,Sheldon,1.0,2,leonard,73,32.102409638554214
3,Sheldon,1.0,3,think,47,22.09
4,Sheldon,1.0,4,time,46,19.962264150943398
5,Sheldon,1.0,5,penny,50,17.73049645390071
6,Sheldon,1.0,6,yes,40,16.666666666666668
7,Sheldon,1.0,7,one,45,16.071428571428573
8,Sheldon,1.0,8,course,22,13.82857142857143
9,Sheldon,1.0,9,need,32,13.473684210526315
10,Sheldon,1.0,10,please,22,13.081081081081082
11,Penny,1.0,1,guys,35,22.272727272727273
12,Penny,1.0,2,leonard,58,20.265060240963855
13,Penny,1.0,3,really,43,17.12037037037037
14,Penny,1.0,4,know,56,15.838383838383837
15,Penny,1.0,5,sheldon,46,11.376344086021506
16,Penny,1.0,6,alright,21,8.480769230769232
17,Penny,1.0,7,sweetie,8,8.0
18,Penny,1.0,8,raj,20,7.547169811320755
19,Penny,1.0,9,good,27,7.147058823529412
20,Penny,1.0,10,want,26,6.828282828282829
21,Howard,1.0,1,sensor,5,5.0
22,Howard,1.0,2,french,4,4.0
23,Howard,1.0,3,sheldon,26,3.634408602150537
24,Howard,1.0,4,gentlemen,5,3.5714285714285716
25,Howard,1.0,5,speaks,3,3.0
26,Howard,1.0,6,nerd,3,3.0
27,Howard,1.0,7,harmed,3,3.0
28,Howard,1.0,8,shuttle,3,3.0
29,Howard,1.0,9,destiny,3,3.0
30,Howard,1.0,10,keep,8,2.909090909090909
31,Leonard,1.0,1,sheldon,90,43.54838709677419
32,Leonard,1.0,2,penny,76,40.9645390070922
33,Leonard,1.0,3,go,63,25.606451612903225
34,Leonard,1.0,4,know,67,22.671717171717173
35,Leonard,1.0,5,right,37,15.21111111111111
36,Leonard,1.0,6,yes,37,14.260416666666668
37,Leonard,1.0,7,howard,28,12.64516129032258
38,Leonard,1.0,8,sure,26,12.071428571428571
39,Leonard,1.0,9,come,32,11.906976744186046
40,Leonard,1.0,10,us,24,11.52
41,Raj,1.0,1,hee,22,22.0
42,Raj,1.0,2,papa,9,8.1
43,Raj,1.0,3,lalita,9,6.75
44,Raj,1.0,4,dude,7,6.125
45,Raj,1.0,5,balcony,5,4.166666666666667
46,Raj,1.0,6,gupta,3,3.0
47,Raj,1.0,7,jacuzzi,3,3.0
48,Raj,1.0,8,fat,4,2.6666666666666665
49,Raj,1.0,9,dibs,4,2.2857142857142856
50,Raj,1.0,10,shiva,3,2.25
51,Sheldon,2.0,1,knock,63,47.81927710843374
52,Sheldon,2.0,2,leonard,97,46.34975369458128
53,Sheldon,2.0,3,penny,90,41.968911917098445
54,Sheldon,2.0,4,one,68,27.688622754491018
55,Sheldon,2.0,5,see,54,22.430769230769233
56,Sheldon,2.0,6,time,38,18.753246753246753
57,Sheldon,2.0,7,good,44,18.264150943396228
58,Sheldon,2.0,8,right,55,18.11377245508982
59,Sheldon,2.0,9,yes,49,17.917910447761194
60,Sheldon,2.0,10,course,26,16.900000000000002
61,Penny,2.0,1,sheldon,91,34.50416666666666
62,Penny,2.0,2,know,95,31.778169014084508
63,Penny,2.0,3,leonard,60,17.733990147783253
64,Penny,2.0,4,come,37,12.445454545454545
65,Penny,2.0,5,honey,13,12.071428571428571
66,Penny,2.0,6,guys,26,11.081967213114753
67,Penny,2.0,7,right,43,11.071856287425149
68,Penny,2.0,8,really,35,10.74561403508772
69,Penny,2.0,9,look,33,10.177570093457943
70,Penny,2.0,10,sweetie,9,9.0
71,Howard,2.0,1,grossman,7,7.0
72,Howard,2.0,2,go,38,6.876190476190476
73,Howard,2.0,3,raj,19,6.333333333333333
74,Howard,2.0,4,wolowitz,15,6.081081081081082
