year,character,name,n,prop
1,Leonard,leonard leonard don charge,29,0.028515240904621434
1,Leonard,time machine machine future,18,0.017699115044247787
1,Leonard,captain team allowed,14,0.01376597836774828
1,Leonard,penny penny don lied,12,0.011799410029498525
1,Leonard,hypothesis evidence conclusion,12,0.011799410029498525
1,Leonard,upset mad think don,10,0.00983284169124877
1,Leonard,nope  ,10,0.00983284169124877
1,Leonard,eh know ll yeah yeah,10,0.00983284169124877
1,Leonard,cold winter hat,9,0.008849557522123894
1,Leonard,didn want penny penny penny,9,0.008849557522123894
1,Leonard,embarrassing forced surprise,8,0.007866273352999017
1,Leonard,green super band,8,0.007866273352999017
1,Leonard,diet eating mm,8,0.007866273352999017
1,Leonard,okay okay okay check,8,0.007866273352999017
1,Leonard,leo addiction doing research,8,0.007866273352999017
1,Leonard,bye good bye goodbye,8,0.007866273352999017
1,Leonard,precious insightful intellect,8,0.007866273352999017
1,Leonard,clothes event woman,8,0.007866273352999017
1,Leonard,soup grow confused,7,0.00688298918387414
1,Leonard,broke logical feelings,7,0.00688298918387414
1,Leonard,leaving leave reason,7,0.00688298918387414
1,Leonard,egg ve known structure,7,0.00688298918387414
1,Leonard,uses accept egg,6,0.0058997050147492625
1,Leonard,don don chaos expected,6,0.0058997050147492625
1,Leonard,experiment breakfast egg,6,0.0058997050147492625
1,Leonard,frozen sell grow,6,0.0058997050147492625
1,Leonard,brain superior engage,6,0.0058997050147492625
1,Leonard,hardly think think kidding,6,0.0058997050147492625
1,Leonard,hi buddy hey,6,0.0058997050147492625
1,Leonard,conversation lives subject,6,0.0058997050147492625
1,Leonard,accidentally oh sure built,6,0.0058997050147492625
1,Leonard,intercourse sex sexual,5,0.004916420845624385
1,Leonard,lee decide trouble,5,0.004916420845624385
1,Leonard,wait wait wait good good,5,0.004916420845624385
1,Leonard,date occasion tomorrow,5,0.004916420845624385
1,Leonard,pants wear pair,5,0.004916420845624385
1,Leonard,cat just need oh like,5,0.004916420845624385
1,Leonard,party west served,5,0.004916420845624385
1,Leonard,hold walking break,5,0.004916420845624385
1,Leonard,apology fault apologize,5,0.004916420845624385
1,Leonard,soft singing song,5,0.004916420845624385
1,Leonard,good night alright night,4,0.003933136676499509
1,Leonard,does yes does placed,4,0.003933136676499509
1,Leonard,nobel prize nobel prize,4,0.003933136676499509
1,Leonard,sister right good twin,4,0.003933136676499509
1,Leonard,reduce scientific chaos,4,0.003933136676499509
1,Leonard,assure metaphor stuck,4,0.003933136676499509
1,Leonard,thursday friday vegetable,4,0.003933136676499509
1,Leonard,win won draw,4,0.003933136676499509
1,Leonard,help respond unfortunately,4,0.003933136676499509
1,Leonard,people  ,4,0.003933136676499509
1,Leonard,guide alien lived,4,0.003933136676499509
1,Leonard,princess yes oh pictures,4,0.003933136676499509
1,Leonard,hurt easily pain,4,0.003933136676499509
1,Leonard,sarcasm sign going,4,0.003933136676499509
1,Leonard,morning test say hello,4,0.003933136676499509
1,Leonard,cut line cutting,4,0.003933136676499509
1,Leonard,going make stole deserve,4,0.003933136676499509
1,Leonard,location dating benefits,4,0.003933136676499509
1,Leonard,smart kids clearly,4,0.003933136676499509
1,Leonard,koothrappali rich wolowitz,4,0.003933136676499509
1,Leonard,ceremony strikes provided,4,0.003933136676499509
1,Leonard,cream ice sugar,4,0.003933136676499509
1,Leonard,apple isaac named,4,0.003933136676499509
1,Leonard,kill head blow,4,0.003933136676499509
1,Leonard,chicken mm appropriate,4,0.003933136676499509
1,Leonard,yes yes peace yes,4,0.003933136676499509
1,Leonard,exciting attack event,4,0.003933136676499509
1,Leonard,argue know did just tell,4,0.003933136676499509
1,Leonard,robot intelligence em,4,0.003933136676499509
1,Leonard,precious going tell tuesday,4,0.003933136676499509
1,Leonard,hint close don care,4,0.003933136676499509
1,Leonard,current friends seven,4,0.003933136676499509
1,Leonard,challenge arms twin,4,0.003933136676499509
1,Leonard,minds mind madness,4,0.003933136676499509
1,Leonard,math dollars helps,4,0.003933136676499509
1,Leonard,walking heck want hear,4,0.003933136676499509
1,Leonard,yes yes yes surprisingly,4,0.003933136676499509
1,Leonard,sauce dogs hot,4,0.003933136676499509
1,Leonard,wolowitz lost possibly,4,0.003933136676499509
1,Leonard,listening listen speech,4,0.003933136676499509
1,Leonard,work going work foolish,3,0.0029498525073746312
1,Leonard,bathroom schedule seat,3,0.0029498525073746312
1,Leonard,doctor grown dna,3,0.0029498525073746312
1,Leonard,didn say say don closer,3,0.0029498525073746312
1,Leonard,teeth ones lucky,3,0.0029498525073746312
1,Leonard,playing night night oh,3,0.0029498525073746312
1,Leonard,scene step earlier today,3,0.0029498525073746312
1,Leonard,chat talk zone,3,0.0029498525073746312
1,Leonard,did did managed did oh,3,0.0029498525073746312
1,Leonard,humanity visit channel,3,0.0029498525073746312
1,Leonard,shouldn competition bringing,3,0.0029498525073746312
1,Leonard,standing mask strangers,3,0.0029498525073746312
1,Leonard,know know think know threw,3,0.0029498525073746312
1,Leonard,hello neighbour home,3,0.0029498525073746312
1,Leonard,food mouth culture,3,0.0029498525073746312
1,Leonard,thank thanks challenge,3,0.0029498525073746312
1,Leonard,oh oh seriously oh yes,3,0.0029498525073746312
1,Leonard,entirely bird creature,3,0.0029498525073746312
1,Leonard,bag emergency phone,3,0.0029498525073746312
1,Leonard,men years old different,3,0.0029498525073746312
1,Leonard,explanation reasonable expecting,3,0.0029498525073746312
1,Leonard,account exchange price,3,0.0029498525073746312
1,Leonard,immediately work working,3,0.0029498525073746312
1,Leonard,mother mom dad,3,0.0029498525073746312
1,Leonard,knock mankind naked,2,0.0019665683382497543
1,Leonard,lee oh uh sword,2,0.0019665683382497543
1,Leonard,thank thank thank thanks,2,0.0019665683382497543
1,Leonard,monkeys monkey female,2,0.0019665683382497543
1,Leonard,sound silence effect,2,0.0019665683382497543
1,Leonard,spider web scare,2,0.0019665683382497543
1,Leonard,owned basically oh fine,2,0.0019665683382497543
