Topic,Count,Name,Representation,Representative_Docs
-1,1485,-1_oh_wil_just_don,"['oh', 'wil', 'just', 'don', 'dog', 'good', 'make', 'want', 'night', 'know']","['Yeah, I did, but then Wil called Amy a pain in the A-S-S. She got huffy and left, then Wil and I headed out to dinner. That place really did remind me of my hometown. Because there we also have a HomeTown Buffet.', 'Yeah, I did, but then Wil called Amy a pain in the A-S-S. She got huffy and left, then Wil and I headed out to dinner. That place really did remind me of my hometown. Because there we also have a HomeTown Buffet.', 'We had dinner last night. She made me spaghetti with little hot dogs cut up in it. Well, little hot dog. I gave up the other five hot dogs to a real dog. A real, big dog. A hell hound. Tangential to the primary story. How about I circle back to it?']"
0,261,0_woman_girl_girlfriend_relationship,"['woman', 'girl', 'girlfriend', 'relationship', 'possibility', 'sexual', 'lucky', 'princess', 'action', 'mouth']","['Mm, it’s hard to say. I can only speculate based on the data I collected watching my parents’ marriage implode. In that case, the woman dives into religion, while the man dives into a bottle-blonde bartender who tries to buy my love with action figures. Oop! Out of arrows.', 'Mm, it’s hard to say. I can only speculate based on the data I collected watching my parents’ marriage implode. In that case, the woman dives into religion, while the man dives into a bottle-blonde bartender who tries to buy my love with action figures. Oop! Out of arrows.', 'Glad you asked. As I see it, there’s a simple solution. Your lips had a dalliance with the lips of another woman. It seems only logical that to restore balance to the relationship, you should find another man and dally with him. And by dally, I mean some hardcore mouth-on-mouth action.']"
1,249,1_leonard_leonard wait_leonard know_leonard leonard,"['leonard', 'leonard wait', 'leonard know', 'leonard leonard', 'leonard don', 'oh leonard', 'leonard come', 'leonard good', 'sorry leonard', 'inside']","['Leonard.', 'Leonard.', 'Leonard, would you be a lamb?']"
2,204,2_chicken_pizza_sauce_mm,"['chicken', 'pizza', 'sauce', 'mm', 'juice', 'mm mm', 'eggs', 'food', 'orange', 'dinfast']","['What? Wh-Where did my cashew chicken come from?', 'I like tangerine chicken, I’m not getting tangerine chicken.', 'The prospect of fried chicken.']"
3,183,3_penny_penny penny_didn want_baby,"['penny', 'penny penny', 'didn want', 'baby', 'involving', 'subatomic', 'result', 'lied', 'lie', 'accept']","['Penny?', 'jlyajbe’. DaH nep’a’ Penny? ', 'Not Penny, me!']"
4,99,4_science_physics_scientists_field,"['science', 'physics', 'scientists', 'field', 'research', 'physicist', 'study', 'series', 'scientific', 'real']","['How’s this? Pleased to meet you, Dr Gablehouser. How fortunate for you that the University has chosen to hire you, despite the fact that you’ve done no original research in 25 years, and instead have written a series of popular books that reduce the great concepts of science to a series of anecdotes, each one dumbed down to accommodate the duration of an average bowel movement. Mahalo.', 'How’s this? Pleased to meet you, Dr Gablehouser. How fortunate for you that the University has chosen to hire you, despite the fact that you’ve done no original research in 25 years, and instead have written a series of popular books that reduce the great concepts of science to a series of anecdotes, each one dumbed down to accommodate the duration of an average bowel movement. Mahalo.', 'For science.']"
5,65,5_roommate agreement_agreement_roommate_section,"['roommate agreement', 'agreement', 'roommate', 'section', 'agreement meeting', 'clause', 'meeting', 'reinstate', 'quarterly roommate', 'quarterly']","['Roommate agreement? Are you kidding? We are living in a world of chaos. Roommate agreement.', 'You have to help, it’s in the roommate agreement.', 'You have to help, it’s in the roommate agreement.']"
6,56,6_amy_pride_beauty_mark,"['amy', 'pride', 'beauty', 'mark', 'experience', 'beloved', 'honest', 'know couldn', 'like amy', 'posting']","['Amy?', 'No. Amy?', 'No, it’s not Amy.']"
7,54,7_howard_bernadette_cousin_dungeon,"['howard', 'bernadette', 'cousin', 'dungeon', 'judas', 'master', 'reveal', 'security clearance', 'clearance', 'sure feel']","['All right, get this. Bernadette is thinking about breaking up with Howard.', 'Yeah, I do. . As is the tradition, I have prepared a series of disrespectful jokes which generate humour at Howard’s expense. Prepare to have your ribs tickled. Howard, I always thought you’d be the last one of us to ever get married, because you are so short and unappealing. Am I right? Let’s see here. Oh, seriously though, Howard, you’re actually one of the most intelligent people I know. And that’s a zinger, because you’re not. I’ve always thought that you’d make someone a fine husband someday. Assuming you’d be able to get the parts, and develop the engineering skills to assemble them, which I don’t see as likely. Hacha! Okay, let me see here. Okay, kidding aside, Howard, you are a good friend. And I wish you nothing but happiness. Bazinga, I don’t!', 'Howard?']"
8,51,8_higgs_professor_einstein_boson,"['higgs', 'professor', 'einstein', 'boson', 'newton', 'particle', 'isaac newton', 'isaac', 'bow', 'tickle']","['December 25, 1642, Julian calendar, Sir Isaac Newton is born. Jesus, on the other hand, was actually born in the summer. His birthday was moved to coincide with a traditional pagan holiday that celebrated the winter solstice with lit fires and slaughtered goats. Which, frankly, sounds like more fun than 12 hours of church with my mother followed by a fruitcake.', 'Good Lord, I could not have made this easier. Hydrogen atom, H, plus pigs minus pea, Higgs. Bow, General Zod trapped in the Phantom Zone. Bow-zone. Pear. Tickle. Pear-tickle. Higgs Boson Particle. How could you not get that?', 'Good Lord, I could not have made this easier. Hydrogen atom, H, plus pigs minus pea, Higgs. Bow, General Zod trapped in the Phantom Zone. Bow-zone. Pear. Tickle. Pear-tickle. Higgs Boson Particle. How could you not get that?']"
9,48,9_wolowitz_card_magic_pick,"['wolowitz', 'card', 'magic', 'pick', 'engineering', 'trick', 'lost', 'software', 'brent spiner', 'brent']","['Boldly go, Howard Wolowitz.', 'I’m sorry, we cannot do this without Wolowitz.', 'Wolowitz?']"
10,47,10_comic_comic book_book_book store,"['comic', 'comic book', 'book', 'book store', 'store', 'scene', 'banned', 'peace', 'oh god', 'caught']","['You’re making an assumption. Perhaps the comic book store is on fire, and he needs your assistance.', 'I’ll give you a plan right now. Step one, open comic book store. Step two, start rumour this comic book store gives you genital warts. Step three, buy a big bag to put the money in.', 'All right. Let’s go to the comic book store.']"
