Topic,Count,Name,Representation,Representative_Docs
-1,589,-1_oh_know_don_right,"['oh', 'know', 'don', 'right', 'like', 'll', 'time', 'going', 'just', 'amy']","['The fun starts with brunch at Carney’s in Studio City, a hot dog stand in a converted railroad dining car. Next stop, Travel Town, an outdoor museum featuring 43 railroad engines, cars and other rolling stock from the 1880s to the 1930s. Finally, we’re off to the glitz and glamour of Hollywood for dinner at, that’s right, the Hollywood Carney’s, a hot dog stand in a different converted railroad dining car.', 'It’s very simple. Look, scissors cuts paper. Paper covers rock. Rock crushes lizard. Lizard poisons Spock. Spock smashes scissors. Scissors decapitates lizard. Lizard eats paper. Paper disproves Spock. Spock vaporizes rock. And as it always has, rock crushes scissors.', 'It’s very simple. Look, scissors cuts paper. Paper covers rock. Rock crushes lizard. Lizard poisons Spock. Spock smashes scissors. Scissors decapitates lizard. Lizard eats paper. Paper disproves Spock. Spock vaporizes rock. And as it always has, rock crushes scissors.']"
0,68,0_raj_raj raj_reject_rajesh,"['raj', 'raj raj', 'reject', 'rajesh', 'ring', 'don', 'khan', 'tasks', 'elvish', 'parents']","[' Raj? Raj? Raj? I need to sleep here tonight.', ' Raj. Raj. Raj.', ' Raj. Raj. Raj.']"
1,39,1_dark matter_dark_matter_cloaking,"['dark matter', 'dark', 'matter', 'cloaking', 'course', 'assumed', 'cloaking device', 'death ray', 'device', 'string theory']","['Yes, well, if we lived in a world where slow-moving xenon produced light, then you’d be correct. Also, pigs would fly, my derriere would produce cotton candy, and The Phantom Menace would be a timeless classic.', 'It’s dark matter. When I entered the field of string theory, I was a prodigy. I rose to a position of respect, and I assumed my career would continue on that upward trajectory. Now here I am in my 30s, I’m back at square one. And, frankly, it’s frightening.', 'It’s dark matter. When I entered the field of string theory, I was a prodigy. I rose to a position of respect, and I assumed my career would continue on that upward trajectory. Now here I am in my 30s, I’m back at square one. And, frankly, it’s frightening.']"
2,37,2_koothrappali_dr_learn finnish_finnish,"['koothrappali', 'dr', 'learn finnish', 'finnish', 'cricket', 'dr koothrappali', 'learn', 'toby', 'tha', 'plimpton']","['Yes, exactly, I had a great time. That’s done, I’ve moved on to other things. For example, after I learn Finnish, I’m not going to learn Finnish again.', 'Emily, as I’m sure you know, I’m considered an odd fellow. But what you don’t know is that, while I often say the wrong thing, in my heart I mean well. I think that you are a smart and wonderful woman, you know? And we all think that you can do better than Koothrappali.', 'Emily, as I’m sure you know, I’m considered an odd fellow. But what you don’t know is that, while I often say the wrong thing, in my heart I mean well. I think that you are a smart and wonderful woman, you know? And we all think that you can do better than Koothrappali.']"
3,36,3_sauce_hadn_sandwich_lettuce,"['sauce', 'hadn', 'sandwich', 'lettuce', 'dessert', 'salad', 'bean', 'bread', 'ingredients', 'uh']","['Well, you know what else was just a suggestion? Why don’t we change the Raisin Bran box? Hmm? And you know who got hurt by that? Every single person who eats breakfast.', 'Yes, there is. Oh, here’s a fun fact, ketchup started out as a general term for sauce, typically made of, uh, mushrooms or fish brine with herbs and spices. Some popular early main ingredients included blueberry, anchovy, oyster, kidney bean and grape.', 'Yes, there is. Oh, here’s a fun fact, ketchup started out as a general term for sauce, typically made of, uh, mushrooms or fish brine with herbs and spices. Some popular early main ingredients included blueberry, anchovy, oyster, kidney bean and grape.']"
4,36,4_yes yes_yes_year bit_time year,"['yes yes', 'yes', 'year bit', 'time year', 'ridiculous yes', 'nippy', 'really time', 'bit nippy', 'really', 'year']","['Yes.', 'Yes.', 'Yes.']"
5,35,5_point_amusing_ve point_right ve,"['point', 'amusing', 've point', 'right ve', 'doing', 'say', 'funny', 'didn say', 'didn', 'wasn']","['This is not the time for joking. We’re doing serious research, which requires complete and utter focus.', 'All right, you’ve made your point. A fine prank, very amusing. Now get it out.', 'All right, you’ve made your point. A fine prank, very amusing. Now get it out.']"
6,34,6_home_life_real life_going,"['home', 'life', 'real life', 'going', 'want home', 'real', 'feel', 'yeah', 'start packing', 'starting feel']","['This is incredible! I’m so happy, I’m not even going to question their judgment in picking you. I’m just going to run home and start packing.', 'Yeah, well, we’re not. We’re an imaginary landing party who had real-life garbage thrown at us by real-life strangers who think we’re idiots. And to tell you the truth, I’m starting to feel like one. I want to go home now.', 'Yeah, well, we’re not. We’re an imaginary landing party who had real-life garbage thrown at us by real-life strangers who think we’re idiots. And to tell you the truth, I’m starting to feel like one. I want to go home now.']"
7,33,7_remove_thank_right_card,"['remove', 'thank', 'right', 'card', 'play', 'commenting card', 'going remove', 'play game', 'll remove', 'remove ll']","['Could you please play the game without commenting on every card?', 'All right, if you’re not going to remove it, I’ll remove it for you.', 'All right, if you’re not going to remove it, I’ll remove it for you.']"
8,33,8_da_da da_bert_settled,"['da', 'da da', 'bert', 'settled', 'congratulations', 'stop', 'told', 'bert proper', 'award', 'pay bert']","['Excuse me, I need to pay Bert a proper congratulations.', 'Da-da-da-da, da-da-da!', 'I won! This is astonishing. Not that I won the award, no one deserves it more. Actually, I guess I misspoke. It’s not astonishing, more like inevitable. I’m not sure what to do first. Maybe I should call my mother. Wait! I know, I’m going to conduct an interview with myself and post it online.']"
9,30,9_work_won work_won_sorry,"['work', 'won work', 'won', 'sorry', 'writing memoirs', 'round writing', 'seat ll', 'simply affording', 'signed copy', 'signed']","['Of course, I can’t mention you in my Nobel acceptance speech, but when I get round to writing my memoirs you can expect a very effusive footnote, and perhaps a signed copy.', 'I’m sorry, I believe you’ve misunderstood. I’m not giving you the job. I’m simply affording you the opportunity to apply for it. Have a seat, we’ll get started with the interview.', 'I’m sorry, I believe you’ve misunderstood. I’m not giving you the job. I’m simply affording you the opportunity to apply for it. Have a seat, we’ll get started with the interview.']"
10,29,10_cat_hang_follow regular_ve seen,"['cat', 'hang', 'follow regular', 've seen', 'regular physician', 'explain sneeze', 'high follow', 'hang cardigan', 'allergies', 'button oh']","['Congratulations and welcome temporarily aboard. Here’s your I.D. Card, your key and your lapel pin. Which Leonard was too cool to wear. FYI, part of your responsibilities as roommate pro tem will be to drive me to and from work, the comic book store, the barbershop and the park for one hour every other Sunday for fresh air.', 'Not important. Your sugar was a little high. I’d follow up with your regular physician. In the meantime, I have some paperwork here for you to go over.', 'Not important. Your sugar was a little high. I’d follow up with your regular physician. In the meantime, I have some paperwork here for you to go over.']"
11,29,11_comic_comic book_book_book store,"['comic', 'comic book', 'book', 'book store', 'wednesday', 'store', 'soup', 'hours', 'day', 'tomorrow']","['I’ll give you a plan right now. Step one, open comic book store. Step two, start rumour this comic book store gives you genital warts. Step three, buy a big bag to put the money in.', 'Oh, but I’m not going home. It’s Wednesday, Wednesday is new comic book day, we have to go to the comic book store. And then we have to stop at Soup Plantation, it’s creamy tomato soup day, and Radio Shack, there’s a sale on triple-a batteries. Plus, we have to go to Pottery Barn and return my Star Wars sheets.', 'Oh, but I’m not going home. It’s Wednesday, Wednesday is new comic book day, we have to go to the comic book store. And then we have to stop at Soup Plantation, it’s creamy tomato soup day, and Radio Shack, there’s a sale on triple-a batteries. Plus, we have to go to Pottery Barn and return my Star Wars sheets.']"
12,28,12_leonard_know leonard_leonard penny_penny,"['leonard', 'know leonard', 'leonard penny', 'penny', 'leonard leonard', 'oh good', 'charge', 'using', 'story plausible', 'attract']","['Leonard, Leonard. What is that? What is that?', 'Is this it? It was inappropriate to discuss Leonard and Penny’s sex life in front of Leonard and Penny. Oh, good! Now I can eat.', 'Is this it? It was inappropriate to discuss Leonard and Penny’s sex life in front of Leonard and Penny. Oh, good! Now I can eat.']"
13,28,13_virgin_species_human_copulate,"['virgin', 'species', 'human', 'copulate', 'isaac', 'suddenly', 'isaac newton', 'newton', 'emulate', 'course fine']","['You’ve taken a great evolutionary leap by abandoning human interaction and allowing yourself to romantically bond with a soulless machine. Kudos.', 'Of course you’re fine. Not every member of a species finds a mate. Sir Isaac Newton died a virgin, look at the contributions he made.', 'Of course you’re fine. Not every member of a species finds a mate. Sir Isaac Newton died a virgin, look at the contributions he made.']"
