Season,Topic,Topic Name,Count,Proportion
1.0,0,Topic 0: leonard leonard don charge,30,0.02737226277372263
1.0,84,Topic 84: time machine machine future,13,0.011861313868613138
1.0,38,Topic 38: hypothesis evidence conclusion,11,0.010036496350364963
1.0,9,Topic 9: penny penny don lied,9,0.008211678832116789
1.0,48,Topic 48: eh know ll yeah yeah,9,0.008211678832116789
1.0,68,Topic 68: captain team allowed,9,0.008211678832116789
1.0,1,Topic 1: mother mom dad,8,0.0072992700729927005
1.0,325,Topic 325: soup grow confused,8,0.0072992700729927005
1.0,13,Topic 13: nope  ,7,0.006386861313868613
1.0,234,Topic 234: hint close don care,7,0.006386861313868613
1.0,92,Topic 92: diet eating mm,7,0.006386861313868613
1.0,265,Topic 265: hi buddy hey,7,0.006386861313868613
1.0,25,Topic 25: soft singing song,7,0.006386861313868613
1.0,119,Topic 119: precious insightful intellect,7,0.006386861313868613
1.0,349,Topic 349: playing night night oh,7,0.006386861313868613
1.0,44,Topic 44: wait wait wait good good,6,0.005474452554744526
1.0,33,Topic 33: cold winter hat,6,0.005474452554744526
1.0,523,Topic 523: leo addiction doing research,6,0.005474452554744526
1.0,401,Topic 401: year old carbon twice,6,0.005474452554744526
1.0,82,Topic 82: bye good bye goodbye,6,0.005474452554744526
1.0,46,Topic 46: sandwich corn half,6,0.005474452554744526
1.0,37,Topic 37: party west served,6,0.005474452554744526
1.0,62,Topic 62: okay okay okay check,5,0.004562043795620438
1.0,30,Topic 30: upset mad think don,5,0.004562043795620438
1.0,81,Topic 81: embarrassing forced surprise,5,0.004562043795620438
1.0,75,Topic 75: brain superior engage,5,0.004562043795620438
1.0,19,Topic 19: broke logical feelings,5,0.004562043795620438
1.0,8,Topic 8: sauce dogs hot,5,0.004562043795620438
1.0,11,Topic 11: pants wear pair,5,0.004562043795620438
1.0,298,Topic 298: morning test say hello,5,0.004562043795620438
1.0,57,Topic 57: robot intelligence em,5,0.004562043795620438
1.0,149,Topic 149: physics physicist universe,5,0.004562043795620438
1.0,241,Topic 241: hardly think think kidding,5,0.004562043795620438
1.0,524,Topic 524: princess yes oh pictures,5,0.004562043795620438
1.0,77,Topic 77: conversation lives subject,5,0.004562043795620438
1.0,6,Topic 6: yes yes yes surprisingly,5,0.004562043795620438
1.0,343,Topic 343: egg ve known structure,5,0.004562043795620438
1.0,83,Topic 83: green super band,5,0.004562043795620438
1.0,12,Topic 12: apology fault apologize,5,0.004562043795620438
1.0,239,Topic 239: account exchange price,5,0.004562043795620438
1.0,525,Topic 525: mmm surprised sound,5,0.004562043795620438
1.0,76,Topic 76: koothrappali rich wolowitz,5,0.004562043795620438
1.0,87,Topic 87: hold walking break,5,0.004562043795620438
1.0,457,Topic 457: humorous laugh worth,5,0.004562043795620438
1.0,64,Topic 64: didn want penny penny penny,5,0.004562043795620438
1.0,340,Topic 340: cat poison isaac,4,0.0036496350364963502
1.0,237,Topic 237: accidentally oh sure built,4,0.0036496350364963502
1.0,426,Topic 426: dancing clown candy,4,0.0036496350364963502
1.0,93,Topic 93: doctor grown dna,4,0.0036496350364963502
1.0,10,Topic 10: drink offer drinking,4,0.0036496350364963502
1.0,199,Topic 199: favourite 100 people just,4,0.0036496350364963502
1.0,34,Topic 34: date occasion tomorrow,4,0.0036496350364963502
1.0,153,Topic 153: humanity visit channel,4,0.0036496350364963502
1.0,285,Topic 285: thank thanks challenge,4,0.0036496350364963502
1.0,303,Topic 303: sister right good twin,4,0.0036496350364963502
1.0,249,Topic 249: win won draw,4,0.0036496350364963502
1.0,36,Topic 36: minutes seconds minute,4,0.0036496350364963502
1.0,71,Topic 71: smell flower letter,4,0.0036496350364963502
1.0,63,Topic 63: chicken mm appropriate,4,0.0036496350364963502
1.0,16,Topic 16: pie dinner low,4,0.0036496350364963502
1.0,17,Topic 17: location dating benefits,4,0.0036496350364963502
1.0,301,Topic 301: clothes event woman,4,0.0036496350364963502
1.0,67,Topic 67: cat just need oh like,4,0.0036496350364963502
1.0,416,Topic 416: scene step earlier today,4,0.0036496350364963502
1.0,263,Topic 263: bat drug leads,4,0.0036496350364963502
1.0,52,Topic 52: leaving leave reason,4,0.0036496350364963502
1.0,211,Topic 211: cream ice sugar,4,0.0036496350364963502
1.0,42,Topic 42: oh dear dear dear lord,4,0.0036496350364963502
1.0,29,Topic 29: particle professor tickle,4,0.0036496350364963502
1.0,85,Topic 85: genitals mood frankly,3,0.002737226277372263
1.0,73,Topic 73: shouldn competition bringing,3,0.002737226277372263
1.0,31,Topic 31: comic book comic book,3,0.002737226277372263
1.0,21,Topic 21: wolowitz lost possibly,3,0.002737226277372263
1.0,20,Topic 20: sheldon dating pair,3,0.002737226277372263
1.0,27,Topic 27: work going work foolish,3,0.002737226277372263
1.0,123,Topic 123: math dollars helps,3,0.002737226277372263
1.0,162,Topic 162: ray passing death,3,0.002737226277372263
1.0,299,Topic 299: experiment breakfast egg,3,0.002737226277372263
1.0,115,Topic 115: chat talk zone,3,0.002737226277372263
1.0,267,Topic 267: uses accept egg,3,0.002737226277372263
1.0,464,Topic 464: know know think know threw,3,0.002737226277372263
1.0,51,Topic 51: going make stole deserve,3,0.002737226277372263
1.0,179,Topic 179: good night alright night,3,0.002737226277372263
1.0,194,Topic 194: alternate amy oh sure,3,0.002737226277372263
1.0,273,Topic 273: smart kids clearly,3,0.002737226277372263
1.0,269,Topic 269: coming want want friendly,3,0.002737226277372263
1.0,217,Topic 217: frozen sell grow,3,0.002737226277372263
1.0,432,Topic 432: exciting attack event,3,0.002737226277372263
1.0,228,Topic 228: lee decide trouble,3,0.002737226277372263
1.0,114,Topic 114: oh oh oh thought oh guess,3,0.002737226277372263
1.0,206,Topic 206: entirely bird creature,3,0.002737226277372263
1.0,147,Topic 147: summer ancient stars,3,0.002737226277372263
1.0,302,Topic 302: afraid crazy story,3,0.002737226277372263
1.0,126,Topic 126: don don chaos expected,3,0.002737226277372263
1.0,2,Topic 2: howard good friend problems,3,0.002737226277372263
1.0,108,Topic 108: kill head blow,3,0.002737226277372263
1.0,89,Topic 89: monkeys monkey female,3,0.002737226277372263
1.0,124,Topic 124: minds mind madness,3,0.002737226277372263
1.0,210,Topic 210: apple isaac named,3,0.002737226277372263
1.0,65,Topic 65: touched died evil,3,0.002737226277372263
1.0,86,Topic 86: doing good day right good,3,0.002737226277372263
1.0,45,Topic 45: did did honest did,3,0.002737226277372263
1.0,100,Topic 100: intercourse sex sexual,3,0.002737226277372263
1.0,238,Topic 238: men years old different,3,0.002737226277372263
1.0,276,Topic 276: yeah yeah yeah ,3,0.002737226277372263
1.0,259,Topic 259: giant animal zoo,3,0.002737226277372263
1.0,88,Topic 88: sit sat clean,3,0.002737226277372263
1.0,170,Topic 170: woman leap thumb,3,0.002737226277372263
1.0,308,Topic 308: food mouth culture,3,0.002737226277372263
1.0,181,Topic 181: nobel prize nobel prize,3,0.002737226277372263
1.0,306,Topic 306: standing mask strangers,3,0.002737226277372263
1.0,422,Topic 422: costume costumes dressed,2,0.0018248175182481751
1.0,312,Topic 312: opinion difference want know,2,0.0018248175182481751
1.0,402,Topic 402: secret express hiding,2,0.0018248175182481751
1.0,480,Topic 480: know really prove settle,2,0.0018248175182481751
1.0,99,Topic 99: leonard oh unlikely leonard,2,0.0018248175182481751
1.0,443,Topic 443: teeth ones lucky,2,0.0018248175182481751
1.0,178,Topic 178: quantum states knowing,2,0.0018248175182481751
1.0,47,Topic 47: lee oh uh sword,2,0.0018248175182481751
1.0,522,Topic 522: good good good don glad,2,0.0018248175182481751
1.0,470,Topic 470: laundry saturday clean,2,0.0018248175182481751
1.0,355,Topic 355: uh oh huh oh uh,2,0.0018248175182481751
1.0,324,Topic 324: mm don understand understand,2,0.0018248175182481751
1.0,454,Topic 454: immediately work working,2,0.0018248175182481751
1.0,255,Topic 255: precious going tell tuesday,2,0.0018248175182481751
1.0,168,Topic 168: challenge arms twin,2,0.0018248175182481751
1.0,106,Topic 106: humour joke laugh,2,0.0018248175182481751
1.0,256,Topic 256: did did managed did oh,2,0.0018248175182481751
1.0,262,Topic 262: settled reached finished,2,0.0018248175182481751
1.0,61,Topic 61: zero degrees times,2,0.0018248175182481751
1.0,360,Topic 360: people  ,2,0.0018248175182481751
1.0,272,Topic 272: propose alright strikes,2,0.0018248175182481751
1.0,172,Topic 172: really know really didn know,2,0.0018248175182481751
1.0,484,Topic 484: technology laptop thoughtful,2,0.0018248175182481751
1.0,189,Topic 189: seat looked heck,2,0.0018248175182481751
1.0,532,Topic 532: drug facebook strongly,2,0.0018248175182481751
1.0,538,Topic 538: costume costumes west,2,0.0018248175182481751
1.0,14,Topic 14: raj states insensitive,2,0.0018248175182481751
1.0,142,Topic 142: help respond unfortunately,2,0.0018248175182481751
1.0,177,Topic 177: does yes does placed,2,0.0018248175182481751
1.0,213,Topic 213: didn say say don closer,2,0.0018248175182481751
1.0,140,Topic 140: fine okay okay oh fine,2,0.0018248175182481751
1.0,397,Topic 397: hero upper sun,2,0.0018248175182481751
1.0,139,Topic 139: chess person dimensional,2,0.0018248175182481751
1.0,3,Topic 3: bathroom schedule seat,2,0.0018248175182481751
