season,episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1,1.0,103,124,60,17,0,3,0
1,2.0,70,83,41,16,0,5,0
1,3.0,49,103,38,24,0,10,0
1,4.0,79,45,30,6,0,2,0
1,5.0,55,67,37,11,0,6,0
1,6.0,68,76,42,21,0,9,0
1,7.0,77,68,55,25,0,16,0
1,8.0,51,39,27,21,0,63,0
1,9.0,59,72,55,17,0,5,0
1,10.0,78,76,34,9,0,4,0
1,11.0,69,68,42,33,0,9,0
1,12.0,59,54,6,36,0,23,0
1,13.0,63,69,26,33,0,17,0
1,14.0,57,73,25,23,0,39,0
1,15.0,58,53,14,36,0,19,0
1,16.0,50,36,66,54,0,4,0
1,17.0,52,65,65,14,0,3,0
2,1.0,71,61,41,28,0,23,0
2,2.0,73,66,34,15,0,13,0
2,3.0,83,33,60,9,0,5,0
2,4.0,53,56,27,37,0,50,0
2,5.0,89,45,34,18,0,7,0
2,6.0,69,47,31,12,0,5,0
2,7.0,67,58,69,41,0,12,0
2,8.0,45,65,19,37,0,18,0
2,9.0,79,48,33,10,0,8,0
2,10.0,33,83,43,11,0,6,0
2,11.0,40,59,49,26,0,11,0
2,12.0,30,43,46,40,0,20,0
2,13.0,71,42,19,20,0,10,0
2,14.0,57,81,66,19,0,15,0
2,15.0,29,61,45,16,0,6,0
2,16.0,47,61,34,55,0,8,0
2,17.0,59,52,24,34,0,21,0
2,18.0,71,39,75,23,0,7,0
2,19.0,54,37,65,15,0,3,0
2,20.0,51,48,31,42,0,16,0
2,21.0,59,44,45,29,0,36,0
2,22.0,33,67,19,35,0,21,0
2,23.0,80,71,31,24,0,17,0
3,1.0,50,49,35,27,0,18,0
3,2.0,63,44,31,35,0,29,0
3,3.0,43,38,30,50,0,38,0
3,4.0,66,32,24,32,0,71,0
3,5.0,45,38,26,45,21,29,0
3,6.0,39,67,32,35,0,40,0
3,7.0,61,59,68,17,0,14,0
3,8.0,62,25,58,31,0,28,0
3,9.0,35,32,22,44,21,17,0
3,10.0,59,35,54,48,37,3,0
3,11.0,42,55,51,8,0,0,0
3,12.0,50,39,22,23,7,40,0
3,13.0,66,42,22,11,0,7,0
3,14.0,64,55,32,15,11,10,0
3,15.0,58,66,39,13,0,18,0
3,16.0,64,27,55,22,0,11,0
3,17.0,37,51,17,41,0,44,0
3,18.0,71,31,25,11,0,21,0
3,19.0,62,47,62,20,0,14,0
3,20.0,78,66,56,21,0,22,0
3,21.0,63,64,28,28,0,30,0
3,22.0,77,95,26,19,0,12,0
3,23.0,52,63,34,36,0,28,5
4,1.0,68,21,73,39,0,14,14
4,2.0,56,69,48,11,0,4,0
4,3.0,79,61,21,29,0,22,38
4,4.0,40,28,33,67,27,32,0
4,5.0,69,79,0,13,5,7,20
4,6.0,91,94,0,17,0,28,0
4,7.0,81,33,19,18,0,23,0
4,8.0,42,32,32,19,23,9,37
4,9.0,20,62,39,34,17,36,0
4,10.0,54,11,22,35,7,33,43
4,11.0,47,48,36,20,0,16,0
4,12.0,90,56,42,23,0,20,0
4,13.0,32,35,57,27,32,8,28
4,14.0,66,17,57,19,12,22,7
4,15.0,49,62,16,18,0,15,7
4,16.0,24,24,28,56,34,17,17
4,17.0,68,41,31,6,12,8,24
4,18.0,37,73,42,34,0,14,0
4,19.0,61,48,32,28,6,27,9
4,20.0,51,54,19,11,10,30,28
4,21.0,80,29,16,1,10,1,32
4,22.0,37,31,21,12,36,30,39
4,23.0,39,35,33,49,23,25,0
4,24.0,47,41,23,21,7,40,10
5,1.0,24,31,43,13,6,37,18
5,2.0,50,47,31,20,0,12,23
5,3.0,21,39,15,34,25,1,47
5,4.0,25,16,37,45,3,51,2
5,5.0,51,47,10,34,35,6,9
5,6.0,59,27,10,8,0,6,5
5,7.0,41,71,24,11,7,9,0
5,8.0,37,31,29,12,25,3,60
5,9.0,34,65,61,4,6,6,6
5,10.0,54,27,19,17,7,15,26
5,11.0,49,69,35,6,17,9,16
5,12.0,43,21,22,41,26,7,12
5,13.0,41,82,65,8,21,7,20
5,14.0,25,35,34,10,4,27,13
5,15.0,61,50,13,26,2,19,2
5,16.0,63,28,16,29,15,12,33
5,17.0,48,24,42,10,10,13,36
5,18.0,50,34,23,22,17,5,8
5,19.0,42,24,41,15,8,15,38
5,20.0,51,27,26,21,8,46,0
5,21.0,72,14,12,61,7,13,0
5,22.0,22,31,26,29,22,24,11
5,23.0,36,46,25,40,12,4,16
5,24.0,20,20,12,48,30,13,15
6,1.0,26,30,22,29,11,48,24
6,2.0,65,30,39,19,23,7,22
6,3.0,35,33,37,16,15,5,21
6,4.0,44,28,27,41,12,15,17
6,5.0,25,33,39,41,31,19,17
6,6.0,48,45,37,16,12,16,15
6,7.0,53,13,21,32,22,2,21
6,8.0,24,55,24,52,0,49,0
6,9.0,53,19,16,36,28,11,31
6,10.0,39,12,13,47,14,10,33
6,11.0,42,43,18,17,15,33,19
6,12.0,47,51,33,13,5,18,2
6,13.0,34,35,36,16,21,21,28
6,14.0,53,31,16,35,10,24,5
6,15.0,60,37,32,27,4,31,28
6,16.0,28,47,41,20,12,16,15
6,17.0,39,17,19,18,6,26,13
6,18.0,22,21,15,20,16,10,15
6,19.0,46,30,27,45,41,14,17
6,20.0,52,42,13,12,3,19,21
6,21.0,33,23,30,20,5,33,19
6,22.0,46,31,18,26,19,14,0
6,23.0,39,18,18,22,11,27,28
6,24.0,34,39,48,14,5,43,11
7,1.0,57,11,47,15,20,28,21
