,character,lines
0,Sheldon,1343
1,Leonard,1267
2,Penny,940
3,Howard,596
4,Raj,338
5,Scene,232
6,Leslie,78
7,Steph,72
8,Stuart,63
9,Beverley,58
10,Ramona,47
11,Alicia,43
12,Kripke,38
13,David,30
14,Girl,20
15,Gablehauser,17
16,Summer,13
17,Koothrappali,12
18,All,11
19,Michaela,10
20,Lady,9
21,Kurt,7
22,voice,6
23,Mother,5
24,Woman,5
25,Man,4
26,together,4
27,Together,3
28,Eric,3
29,Model,3
30,Assistant,3
31,machine,3
32,Penny-warrior,3
33,Warrior,3
34,Tom,2
35,Voice,2
36,Houston,2
37,Employee,2
38,Kathy,2
39,head,1
40,Leonard-warrior,1
41,warrior,1
42,mother,1
43,scenes,1
44,television,1
45,TV,1
46,employee,1
47,queue,1
48,girl,1
49,Announcer,1
50,Smoot,1
51,clerk,1
