id,character,lines
0,Sheldon,1092
1,Leonard,847
2,Penny,796
3,Howard,583
4,Raj,557
5,Amy,508
6,Bernadette,373
7,Scene,334
8,Stuart,100
9,Arthur,65
10,Emily,52
11,Mike,26
12,Wil,24
13,Cooper,19
14,James,19
15,Bert,16
16,Man,16
17,Vet,15
18,Zack,12
19,Lucy,12
20,Jesse,12
21,Hofstadter,11
22,All,10
23,Barry,10
24,Ira,9
25,Director,9
26,Davis,9
27,Psychic,7
28,TV,7
29,Answerphone,7
30,Voice,6
31,Girl,5
32,Together,4
33,Waiter,4
34,Guard,4
35,Bill,3
36,Wheaton,3
37,guy,3
38,Bermadette,3
39,Wolowitz,3
40,voice,2
41,Various,2
42,Both,2
43,Everybody,2
44,Jones,2
45,assistant,2
46,Nurse,2
47,Doctor,2
48,Sceme,2
49,Nye,1
50,Flatow,1
51,Rajj,1
52,Sweatpants,1
53,television,1
54,behind,1
55,Fisher,1
56,Announcement,1
57,Rostenkowski,1
58,Mrs,1
59,Hawking,1
