id,character,lines
0,Sheldon,11484
1,Leonard,9638
2,Penny,7477
3,Howard,5737
4,Raj,4576
5,Amy,3419
6,Scene,2850
7,Bernadette,2636
8,Stuart,726
9,Priya,213
10,Cooper,213
11,Emily,162
12,Beverley,159
13,Zack,133
14,Arthur,130
15,Wil,125
16,Man,108
17,Leslie,107
18,Kripke,103
19,Koothrappali,100
20,Bert,95
21,Girl,77
22,Barry,76
23,Steph,72
24,Ramona,68
25,Lucy,68
26,All,65
27,Alex,63
28,Mary,61
29,Hofstadter,59
30,Rostenkowski,55
31,Dave,52
32,Lesley,50
33,Gablehouser,48
34,Beverly,48
35,Mike,47
36,Alfred,46
37,Missy,46
38,Elizabeth,43
39,Alicia,43
40,Claire,41
41,Wyatt,40
42,Page,36
43,Meemaw,36
44,Isabella,35
45,Jimmy,32
46,Janine,31
47,Koothrapalli,31
48,Woman,31
49,Together,31
50,Dan,30
51,David,30
52,Lorvis,29
53,Williams,29
54,Latham,28
55,Mother,26
56,Wheaton,25
57,Hawking,24
58,Wolowitz,23
59,Assistant,23
60,guy,23
61,Sheldon-bot,23
62,Kurt,22
63,Voice,22
64,Susan,22
65,Nurse,21
66,Policeman,20
67,Adam,19
68,James,19
69,Seibert,19
70,Dennis,18
71,Siri,18
72,Lalita,18
73,Dad,17
74,Gablehauser,17
75,Gallo,17
76,Spock,16
77,Alice,16
78,Davis,16
79,Guard,15
80,Guy,15
81,TV,15
82,Waiter,15
83,Lakshmi,15
84,Vet,15
85,Sackhoff,14
86,Summer,14
87,Mandy,14
88,Dimitri,14
89,Randall,13
90,Bethany,13
91,together,13
92,voice,13
93,Toby,13
94,Josh,12
95,Caption,12
96,Jesse,12
97,Ira,11
98,Joy,11
99,Santa,10
100,Michaela,10
101,Crawley,10
102,Kevin,10
103,Lady,9
104,Rebecca,9
105,Attorney,9
106,Clerk,9
107,Director,9
108,Doctor,9
109,Theodore,9
110,Waitress,8
111,Takei,8
112,Midwife,8
113,Christie,8
114,Elon,8
115,Fillion,8
116,Martha,8
117,Jenson,8
118,Barman,8
119,Katee,7
120,girl,7
121,man,7
122,Judge,7
123,LeVar,7
124,Answerphone,7
125,Psychic,7
126,Cosmonaut,6
127,Todd,6
128,Siebert,6
129,Shopkeeper,6
130,Cole,6
131,Petrescu,6
132,Glenn,6
133,Venkatesh,6
134,Cleaner,6

